name,address_admin,APN,description
Thirsty Turtle Sports Grill,1307 BELL RD,16200029000,The Thirsty Turtle is a family-friendly restaurant and bar. They also host Karaoke every friday and Saturday night. They also host latin music night every Thursday.
Tin Roof Broadway,316 BROADWAY,09306201200,Unpretentious shotgun shack bar & music venue with creative takes on American pub food.
Tootsie's Orchid Lounge,422 BROADWAY,09306307300,This historic watering hole and prototypical honky-tonk is across the alley from the Ryman.
Tootsie's Orchid Lounge (Nashville Intl. Airport),1 TERMINAL DR,10700005000,"Spinoff of the historic Nashville honky tonk featuring drinks, live music & eats."
Tribe,1515 CHURCH ST,09212036400,"Cocktails & delicious pub food are served at this lively gay lounge with pool tables, a dance floor, streaming music videos, and themed nights."
TRUE Music Room and Bar (Cambria Hotel & Suites),118 8TH AVE S,09310048900,"Hotel eatery, poolside bar and concert venue with seasonal small plates and skyline views."
Twin Kegs II,327 HERMITAGE AVE,09413005100,"One of the oldest bars in South Nashville a tiny, old-school watering hole with a picket-fence patio serving burgers & featuring live music - all ages until 9 PM"
Urban Cowboy Public House Bar,1603 WOODLAND ST,08310018500,"Its  a bar and lounge located in the Urban Cowboy Boutique Hotel downtown Nashville. It offers drinks, snack and  also hosts live music performances and special events"
Van Gogh's Ear Wine Bar,1112 WOODLAND ST,08309017500,Van Gogh Wine Bar have live music on the weekends and offer line dance lessons and two-step instruction for bachelorette parties.
Vinyl Tap,2038 GREENWOOD AVE,08303006400,"Chill music-centric watering hole with craft brews, updated bar fare & vinyl records for sale in East Nashville, featuring live music events"
WannaB's Karaoke Bar,305 BROADWAY,09306402600,"Part of the Tequila Cowboy and TC Restaurant Group, WannaB’s Karaoke Bar is an immersive, interactive musical experience with professional sound complete with an elevated stage and lighting. The KJs are professional DJs and singers. "
Whiskey Bent Saloon,306 BROADWAY,09306202700,"It is a bar located in downtown Nashville, Tennessee. It is known for its great drinks, live music, and casual atmosphere. Features lively bands, Broadway's largest specialty bourbon/whiskey selection, the only iced down beer on the street, no smoking, and extra friendly service. Our bands play a mixture of country and classic rock."
Wildhorse Saloon,120 2ND AVE N,09306208100,"Southern food, live-music acts, multiple bars & free nightly dance lessons in a 3-story space."
Winners Bar & Grill,1913 DIVISION ST,09216025500,Lively restaurant & bar serving American comfort food & featuring live bands performing weekly.
Yee Haw Brewing Co.,423 6TH AVE S,09310018800,"Yee Haw Brewing Co. is a craft brewery located in Nashville, Tennessee. It was founded in 2018 with the goal of bringing a unique and quality beer experience to the city of Nashville.
he brewery also frequently hosts events, live music performances, and food truck pop-ups, making it a popular gathering spot for the local community.
"
Zanies Comedy Showplace Nashville,2025 8TH AVE S,10510018300,Local acts & famous comedians share the stage at this longtime comedy club with an open-mike showcase featuring local musicians as musical guests
Ascend Amphitheater,310 1ST AVE S,09306004100,An open air event venue on the Cumberland River in Nashville inside Metro Riverfront Park that is operated by Live Nation
"CE gallery
(WEHO and/or Madison location)",425 CHESTNUT ST,10503017100,A multi-media studio that curates avant-garde experiences with the arts & holistic community. Speakeasy inspired contemporary & performance arts studio. Minority-owned space.
Cheekwood Botanical Garden and Museum of Art,111 CHEEK RD,12912013400,Botanical garden and art museum located on the historic Cheek estate which hosts seasonal festivals with live music
City Winery Nashville,600 MIDDLETON ST,09314059200,"City Winery Nashville is a music venue, restaurant, and winery located in Nashville, Tennessee. It offers a unique and intimate setting for live music performances, as well as a wine bar and a full-service restaurant serving seasonal and locally-sourced cuisine. "
Deep Tropics (Music Festival),900 ROSA L PARKS BLVD,08213036600,"Deep Tropics is a music festival that takes place in Nashville, Tennessee. It is a celebration of electronic dance music (EDM) and features performances by a variety of artists and DJs, including both local and international talent. "
Delgado Guitars,919 C GALLATIN AVE,08301045500,"Delgado Guitars is a guitar shop (a maker or repairer of stringed musical instruments, especially guitars) based in Nashville, Tennessee. "
Drifters BBQ,1008 WOODLAND ST,08309021400,Family friendly BBQ joint with live music and an outdoor patio.
Eastside Bowl,1508 GALLATIN PIKE,05100018000,"Bowling Alley, Music Venue, Diner, Lounge, Arcade in an old K-Mart in Madison, TN"
Fanny's House of Music,1101 HOLLY ST,08309023600,"East Nashville's full service music store selling instruments, accessories and vintage clothing featuring live music events and offering professional music lessons for all ages"
GEODIS Park,0 RAINS AVE,10507037500,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
GEODIS Park,0 RAINS AVE,10507051900,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
GEODIS Park,0 RAINS AVE,10511033100,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
GEODIS Park,0 RAINS AVE,10511033000,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
Jane's Hideaway,403 GALLATIN AVE,08309000800,"Upbeat, brick-lined spot serving brunch, Southern comfort food & craft cocktails, plus nightly sets."
Lipscomb University Department of Theatre,1 UNIVERSITY PARK DR,11716016300,"The Lipscomb University Department of Theatre is a performing arts program within Lipscomb University in Nashville, Tennessee..
The theatre department at Lipscomb University produces a variety of plays and musicals each year, ranging from classic works to contemporary productions. The productions are directed and performed by students and faculty, as well as guest artists and professionals from the Nashville theatre community.
"
Little Harpeth Brewing,1 TERMINAL DR,10700005000,"Energetic brewery offering pints & flights of its own craft beers, plus live music events."
Marathon Music Works,1404 CLINTON ST,09208001800,A turn of the century auto factory converted into a unique music venue hosting concerts and private events
McNamara's Irish Pub,2740 OLD LEBANON PIKE,09601001600,Classic Gaelic tavern food with a variety of whiskeys & beers and live music. ** Same band every night - always Irish music
Mirror Mirror,2623 LEBANON PIKE,09504018600,"Retail Boutique, Tea House, Music & More"
Music Makers Stages at Delgado Guitars,919 A GALLATIN AVE,08301041800,"The Music Makers Stage is a small, intimate live event space with virtual capabilities."
Musicians Hall of Fame and Museum,417 4TH AVE N,09302001300,This museum honors notable Nashville musicians regardless of genre or instrument featuring private event spaces and live music events
Nashville Children's Theatre,700 PRESIDENT RONALD REAGAN WAY,09311019900,One of the oldest operating professional children's theatre companies in the U.S. featuring musical performances by children and their families
Tomato Art Fest,1106 WOODLAND ST,08309017800,"Tomato Art Fest has been uniting fruits and vegetables since 2004. The annual festival attracts people from all over with fun-themed art, local music, delicious food, costumes, wacky contests, shopping, kids activities, & more. "
Pearl Diver,1010 GALLATIN AVE,08301015500,Its a Bar with Live music Performances
Rebar at the Dam,3248 BLACKWOOD DR,09713003900,"Local bar with a small stage for live music & comedy acts, cheap food, sports TV & pool tables."
Rosemary and Beauty Queen (bar); Pink Spiders (band),1102 FORREST AVE,08309012500,Neighborhood food and drinks in East Nashville
The Ballad of Emerson Hall,2510 GALLATIN AVE,07213038300,"The Ballad of Emerson Hall is a music venue located in East Nashville's historic Emerson Hall. It offers a range of services, including drinks, snacks, live music performances, and traditional straight razor shaves. The venue also hosts special events and line dance lessons and two-step instruction for bachelorette parties."
The Bluebird Cafe,4104 A HILLSBORO PIKE,131020B00300CO,"The Bluebird Cafe is one of the world's preeminent listening rooms that has gained worldwide recognition as a songwriter's performance space where the ""heroes behind the hits"" perform their own songs; songs that have been recorded by chart-topping artist"
The Fairgrounds Nashville,0 RAINS AVE,10507037500,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
The Fairgrounds Nashville,0 RAINS AVE,10507051900,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
The Fairgrounds Nashville,0 RAINS AVE,10511033100,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
The Fairgrounds Nashville,0 RAINS AVE,10511033000,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
The Getalong,700 A FATHERLAND ST,08216023900,The Getalong is a warm and welcoming retail and community event space located in the heart of East Nashville’s Historic Edgefield neighborhood.
The Green Light,833 9TH AVE S,10502002000,"The Green Light is a local bar in Nashville's Gulch district with live music, sports and games"
The Hideout Salon and Lounge,2605 GALLATIN AVE,07213003900,"The Hideout Salon and Lounge is a funky, eclectic salon located in the heart of East Nashville. Our mission is to give the community great hair and cultivate a safe space to be creative. Our space is one that is for the misfits, the creators, the yogis, the artists, the musicians, the loiterers, the rebels, and most of all for good hair! "
The High Watt,1 CANNERY ROW,09314000200,The High Watt is the most intimate room at the popular local music venue complex Mercy Lounge.
The Jamnasium-nashville City Center,511 UNION ST,09306101600,"Nashville City Center's JamNasium music studio hosts live music performances.  Additionally, there are poetry and musical performances in the courtyard of the building."
The Treehouse,1011 CLEARVIEW AVE,08309013800,The Treehouse is an East Nashville original restaurant and bar.
The Wedge pizza Pub,2020 LINDELL AVE,10510036000,"The Wedge Pizza Pub, started by former musicians, is opening in Geodis Park's neighborhood. The indoor-outdoor space will have a laid-back feel, local market, stage for live music and comedy and host Nashville SC watch parties."
TSU Performing Arts Center,3401 JOHN A MERRITT BLVD,09201001900,"
The Tennessee State University Performing Arts Center is a performing arts venue located on the campus of Tennessee State University in Nashville, Tennessee. The center hosts a variety of performances and events throughout the year, including plays, musicals, dance performances, and concerts.
"
Yay Yay's,1903 JEFFERSON ST,09203042000,"During the day Yay’s is place where you can not only eat southern inspired food that your Grandma would approve of but a great place to meet with friends, do some work, or just relax and let your creative juices flow. We are also the perfect venue for your next dinner party, family function, business event, cocktail hour, and much more."
Yolan,401 KOREAN VETERANS BLVD,093100F00100CO,"Michelin-starred chef Tony Mantuano, with wine and hospitality expert Cathy Mantuano, bring authentic, fine Italian dining to Nashville. Live Jazz Music every Wednesday."
3rd & Lindsley,805 PRESIDENT RONALD REAGAN WAY,09315006000,"A local favorite, 3rd & Lindsley hosts musical acts from around town and around the world. 3rd & Lindsley is located in Nashville's Sobro neighborhood, meaning it's south of Lower Broadway. 3rd and Lindsley hosts local, regional and national acts."
Alley Taps,162 4TH AVE N 205,093061F20500CO,"A Nashville speakeasy tucked into the heart of historic Printers Alley hosting live music, offering draft beers"
Andrew Jackson Hall-TPAC,301 REP JOHN LEWIS WAY N,09302300700,"A spacious proscenium theater with an orchestra shell and pit seating, this hall is the largest space in the TN Performing Arts Center,"
Anzie Blue,1803 21ST AVE S,10412000300,New Live Events Venue
Assembly Food Hall,500 BROADWAY,093063A00300CO,"Assembly Food Hall is an innovative culinary and entertainment destination in the heart of downtown Nashville. Inspired by the city's diverse culture, Assembly Food Hall brings together the best sights, sounds and tastes of Music City under one roof"
Bavarian Bierhaus,433 OPRY MILLS DR,07300001700,Bavarian Bierhaus is a German Restaurant & Bierhaus located at Opry Mills Nashville
Belcourt Theatre,2100 BELCOURT AVE,10408010800,"A non-profit film center with historic roots as a live music venue in Nashville, featuring film programming and occasional live music events"
Betty's Grill,4900 CHARLOTTE AVE,09115025000,"Mellow, cash-only & smoker-friendly neighborhood haunt with pub grub, live bands, pool & beer."
Big Machine Brewery,120 3RD AVE S,09306405500,"The distillery produces a variety of spirits, including vodka, gin, and whiskey, all of which are made using locally-sourced ingredients. The distillery also offers tours, tastings, and private event spaces."
Black Rabbit,218 3RD AVE N #100,093023F00100CO,"The Black Rabbit venue in Nashville is a music venue and event space that hosts live performances, private events, and other gatherings"
Bourbon Street Blues and Boogie Bar,218 4TH AVE N,09302316100,Music club with Cajun cuisine & blues presented 7 nights per week in Mardi Gras–themed surroundings.
Brooklyn Bowl Nashville,915 3RD AVE N,08213040500,"Germantown 1,200 capacity music venue and state-of-the-art bowling alley."
Bucanas 2009,3802 NOLENSVILLE PIKE,13300002400,"Spacious, high-energy night club featuring Latin music by house DJs and live entertainment."
Carl's Corner Pub & Bar,3755 NOLENSVILLE PIKE,13310004200,"South Nashville sports bar and neighborhood hangout Carl's Corner often offers karaoke and occasionally live music, with bar food also available."
Casa Rosa Miranda Lamberts,308 BROADWAY,09306202600,Casa Rosa is a four-level bar & restaurant that reflects Miranda Lambert's passion for Tex-Mex and live music. 
CMA Theater,224 REP JOHN LEWIS WAY S,093100B00200CO,"Just a few steps from the Country Music Hall of Fame, and excellent and authentic venue for country music."
Country Music Hall of Fame and Museum,222 REP JOHN LEWIS WAY S,093100B00100CO,"The Country Music Hall of Fame and Museum in Nashville, Tennessee, is one of the world's largest museums and research centers dedicated to the preservation and interpretation of American vernacular music. Chartered in 1964, the museum has amassed one of"
Ellingston's,241 4TH AVE N,09302305500,"Ellington's Restaurant is a classic American grill on the 4th floor of The Fairlane Hotel in downtown Nashville, TN."
EXIT/IN,2208 ELLISTON PL,09215011000, Exit/In will  reopen in the spring under new management. venue established in 1971 which has been the spot of filming for many documentaries and has served the Nashville Rock scene for over 45 year
General Jackson Showboat,577 OPRY MILLS DR,07300003900,Showboat known for its in-house musicians and for events like Jazz on the Cumberland.
Hard Rock Cafe,108 2ND AVE N,09306208600,Classic hard rock experience with open air terrace and live concert venue.
Hifi Clyde's Nashville,1700 CHURCH ST,09212030500,"HiFi Clyde's is a bar and restaurant located in Nashville, Tennessee. It is known for its live music, casual atmosphere, and Southern-style cuisine"
Hopsmith Tavern,1903 DIVISION ST,09216026100,"
Hopsmith Nashville is a restaurant & bar located in Nashville’s midtown neighborhood."
James K Polk Theater-TPAC,301 REP JOHN LEWIS WAY N,09302300700,"A large, proscenium theatre with a pit seating in the TN Performing Arts Center"
Jason Aldean's Kitchen + Rooftop Bar,309 BROADWAY,09306402500,"Vast Southern eatery & saloon on 4 levels with live music, TV sports, a gift shop & a rooftop bar."
John A's Restaurant,2425 MUSIC VALLEY DR,06200015400,Kitschy spot with colorful walls & photos of Nashville celebs features down-home fare & drinks. Permanently closed as of Feb 2023
Las Cazuelas,4112 NOLENSVILLE PIKE,14700000800,Homestyle fare & cocktails served in a laid-back hangout with flat-screen TVs & live Latin music.
Legends Corner,424 BROADWAY,09306307200,Classic country albums cover the walls of this classic honky-tonk featuring dancing & cold beer.
Lonnie's western Room,300 CHURCH ST,09302316800,"Lonnie's Western Room is a country music bar located in Nashville, Tennessee. It is a popular spot for locals and tourists who are looking for a classic honky-tonk experience in Music City. **Primarily a karaoke bar? Should not be included - KH"
Loveless Cafe,8400 HIGHWAY 100,16900001400,"Southern cafe serving food for over 65 years with a country vibe with eclectic on-site shops, and two event spaces for live music and private events"
Martin's BBQ Joint - SOBRO,410 4TH AVE S,09310043700,Martin's Bar-B-Que Joint is a barbecue restaurant chain with multiple locations in Tennessee
Miss Kelli's Karaoke Bar,207 3RD AVE N 101,093023D00100CO,"Ms. Kelli's offers a fun and friendly atmosphere, with a wide selection of songs to choose from and professional sound equipment to ensure a great performance. In addition to karaoke, the venue also offer other entertainment options "
Moonlite Drive-in,941 B MAIN ST,082124D90000CO,Old School Movie Drive in Theatre with occasional live music concerts which is open seasonally
Moxy Nashville,110 3RD AVE S,09306405700,Hotel off of the world famous Music Row with deep musical influences
NashHouse Southern Spoon and Saloon,1222 DEMONBREUN ST,093090E00100CO,"Rustic-industrial outlet offering hearty Southern grub alongside drafts on tap, whiskey & cocktails and live music every night."
Natl Museum of African American Music,500 BROADWAY,093063A00300CO,"NMAAM is the only museum dedicated to preserving and celebrating the many music genres created, influenced, and inspired by African Americans."
Patron Event Center,709 RIVERGATE PKWY,02613006900,Patron Event Center is an Event and Entertainment venue with live music performances.
Play Dance Bar,1517 CHURCH ST,09212036500,"This nighclub offers sensational drag shows, live music, and a world-class dance floor with a roster of resident DJ's"
Primm's Appetit,2830 GALLATIN PIKE,07210011500,
Puckett's Grocery & Restaurant Downtown,201 REP JOHN LEWIS WAY N,09306104000,Southern bar & grill with an old-general-store feel & a large stage for live music acts.
Riverside Revival Nashville,1600 RIVERSIDE DR,07215018800,"Riverside Revival Nashville is an event space and music venue located on the campus of the East Nashville Church of Christ in Nashville, Tennessee. The venue offers a variety of services, including concerts, corporate meetings, weddings, and social gatherings"
Robert's Western World,416 B BROADWAY,09306307600,"Robert's Western World is a honky-tonk bar and live music venue located in the heart of downtown Nashville, Tennessee. "
Rosie's Twin Kegs,413 THOMPSON LN,11909023900,"Burgers, draft beer, shuffleboard & weekly karaoke draws locals to this long-standing hangout."
Rudy's Jazz Room,600 9TH AVE S,09314055500,"Rudy's Jazz Room embodies the history and spirit of traditional jazz clubs, where musicians played their hearts out while people gathered to listen, dance, eat, drink and socialize in a swinging' atmosphere. An authentic jazz experience in Music City USA"
Ryman Auditorium,116 REP JOHN LEWIS WAY N,09306307100,"A historic auditorium & nightly music venue, the exact spot where bluegrass was born and once the home of the Grand Ole Opry"
Sambuca (Restaurant),1209 PINE ST,09313010400,Live music plays nightly at this sultry hot spot serving elevated American food & classic cocktails.
Scoreboard Restaurant & Sports Bar,2416 MUSIC VALLEY DR,06200023300,"Late-night sports bar featuring cocktails, draft brews & BBQ plates with an outdoor deck featuring live country music"
Shamblin Theater,1 UNIVERSITY PARK DR,11716016300,An amphitheater located on the Lipscomb University Campus
Sidebar Nashville,401 B PRESIDENT RONALD REAGAN WAY,093100A00100CO,Sidebar is one of Nashville's hidden gems located at Bode on the corner of 2nd Avenue and Korean Veterans Boulevard 
Skull's Rainbow Club,222 4TH AVE N,09302316000,"Circa-1948 speakeasy-style lounge offering elevated American fare, craft sips, live music & nightly burlesque.
"
Skydeck on Broadway,600 B BROADWAY,093063A00500CO,"Skydeck on Broadway is the premier event venue offering an unparalleled culinary, entertainment and concert experience."
Snitch,210 4TH AVE N,09306105700,"Guests can revel in the sour liberties of Printer’s Alley at this music-centric, approachable speakeasy. In addition to a selection of monthly rotating craft and local beers, Snitch provides a creative platform for the musicians of Music City with weekly live programming."
Sobro Sports Bar and Grill (Hilton Garden Inn Downtown),419 3RD AVE S,09310043100,"SoBro Sports Bar & Grill is a casual, modern and welcoming atmosphere that features a wide variety of local beers and bourbons, with a splash of house made cocktails. Their food centers on southern cuisine with a local flare of smoky and savory notes"
Sonny's Patio Pub and Refuge,1318 6TH AVE N,08209005400,"Neighborhood hangout serving up Good Mood Food, Power Packed Drinks and an Action-Packed atmosphere with Bar Games galore and music."
Springwater Supper Club & Lounge,2701 POSTON AVE,10403000400,"Springwater Supper Club & Lounge is the oldest continuously open and operational bar in the great state of Tennessee. Happily hosting Live Music 7 nights a week, plenty of afternoon events, and the COLDEST beer in town! With the storied history and statu"
The Back Corner,1401 5TH AVE N,08112041500,"Cool nightclub with a chill vibe offering VIP service, eclectic DJs & a lively dance floor featuring ticketed live concerts"
The Big Bang Dueling Pianos,209 3RD AVE N,09302316600,"Rocking sing-along bar featuring dueling pianos, comedy & audience participation."
The Blue Room at Third Man Records,623 7TH AVE S,09314021600,"A live venue at Third Man Records with direct recording capabilities - that also hosts indie film screenings, stand-up comedy and more"
The Electric Jane,1221 DIVISION ST,09313058400,"The Electric Jane is a modern day dining and live entertainment club. Through careful curation, our vision is to deliver the finest and most evolved presentation of entertainment in food and beverage hospitality."
The Goat,1226 2ND AVE N,08209037500,"The Goat is a social space with a community-inspired menu, crafted cocktails, a wide range of local bourbons & brews, live music performances, ans community events. Live music held Thursday - Saturday nights."
The Nashville Palace,2611 A MCGAVOCK PIKE,06200023700,"Classic country music acts perform at this famed, rustic honky tonk with dancing & pub grub."
The Roadside Bar & Grill,4617 OLD HICKORY BLVD,07509015400,"Your neighborhood bar and grill. Hidden from the road, with a leash-free dog park, our patio out bac"
Twelve Keys Saloon,4719 ANDREW JACKSON PKWY,06416001100,Twelve beers on tap and music almost every night.
Up a roof top lounge,901 DIVISION ST,09314056700,Rooftop lounge perched atop the Fairfield by Marriott in the Gulch
The Basement,1604 8TH AVE S,10506019900,
Florida Georgia Line House,120 3RD AVE S,09306405500,"Broadway area bar owned by country band Florida Georgia Line featuring the ""Cruise"" rooftop, one of the largest rooftops in downtown Nashville."
Minerva Avenue,1002 BUCHANAN ST,08107052300,
