Venue_name,APN_Address_stringr,APN_Address,match_method,notes
Example Venue,402 12TH AVE S,402 12TH AVE S,APN,
12 South Taproom & Grill,2318 12TH AVE S,2318 12TH AVE S,APN,
404 Bar & Grill,404 ELYSIAN FIELDS RD,404 ELYSIAN FIELDS RD,APN,
6th and Peabody,423 6TH AVE S,423 6TH AVE S,APN,
Acme Feed & Seed,101 BROADWAY,101 BROADWAY,APN,
AJ's Good Time Bar,421 BROADWAY,421 BROADWAY,APN,
Aloft Nashville West End,1719 WEST END AVE,1719 WEST END AVE,APN,
American Legion Post 82,3204 GALLATIN PIKE,3204 GALLATIN PIKE,APN,
Analog at Hutton Hotel,1808 WEST END AVE,1808 WEST END AVE,APN,
Bad Axe Throwing Nashville,648 FOGG ST,648 FOGG ST,APN,
Bar Sovereign,514 REP JOHN LEWIS WAY S,514 REP JOHN LEWIS WAY S,APN,
Barbershop Harmony Society,110 7TH AVE N,110 7TH AVE N,APN,
Barbershop Theater,4003 INDIANA AVE,4003 INDIANA AVE,APN,
Barlines (Omni Nashville Hotel),250 REP JOHN LEWIS WAY S,250 REP JOHN LEWIS WAY S,APN,
Big Jimmy's,109 2ND AVE N,109 2ND AVE N,APN,
Big Shotz,115 2ND AVE N,115 2ND AVE N,APN,
Bobby's Idle Hour Tavern,9 MUSIC SQ S,9 MUSIC SQ S,APN,
Bongo Java After Hours Theatre,2007 BELMONT BLVD,2007 BELMONT BLVD,APN,
Bootleggers Inn,207 BROADWAY,207 BROADWAY,APN,
Bowie's,174 3RD AVE N,174 3RD AVE N,APN,
Bridgestone Arena,501 BROADWAY,501 BROADWAY,APN,
Cafe Coco,210 LOUISE AVE,210 LOUISE AVE,APN,
Caney Fork River Valley Grille,2400 MUSIC VALLEY DR,2400 MUSIC VALLEY DR,APN,
Cannery Hall (to be opened),1 CANNERY ROW,1 CANNERY ROW,APN,
Carol Ann<92>s,407 MURFREESBORO PIKE,407 MURFREESBORO PIKE,APN,
Chief's on Broadway,200 BROADWAY,200 BROADWAY,APN,
Commodore Grille (Holiday Inn Vanderbilt),2613 WEST END AVE,2613 WEST END AVE,APN,
Corner Bar at Elliston Place,2200 ELLISTON PL,2200 ELLISTON PL,APN,
Cross-Eyed Critters Watering Hole,101 20TH AVE N,101 20TH AVE N,APN,
Crow's Nest,2221 BANDYWOOD DR,2221 BANDYWOOD DR,APN,
Dawg House Saloon,1522 DEMONBREUN ST,1522 DEMONBREUN ST,APN,
Decker & Dyer,807 CLARK PL,807 CLARK PL,APN,
Dee's Country Cocktail Lounge,102 E PALESTINE AVE,102 E PALESTINE AVE,APN,
Dierks Bentley's Whiskey Row Nashville,400 BROADWAY,400 BROADWAY,APN,
Doc Holidays,112 2ND AVE N,112 2ND AVE N,APN,
Dream Nightclub,210 4TH AVE N,210 4TH AVE N,APN,
Drkmttr Collective,1111 DICKERSON PIKE,1111 DICKERSON PIKE,APN,
Drury Plaza Hotel Nashville Downtown-Bar,300 KOREAN VETERANS BLVD,300 KOREAN VETERANS BLVD,APN,
ERGO,1001 BROADWAY,1001 BROADWAY,APN,
Famous Nashville,110 2ND AVE N,110 2ND AVE N,APN,
FGL House,120 3RD AVE S,120 3RD AVE S,APN,
Flamingo Cocktail Club,509 HOUSTON ST,509 HOUSTON ST,APN,
Fort Houston (The Forge),217 WILLOW ST,217 WILLOW ST,APN,
Frist Center for the Visual Arts,919 BROADWAY,919 BROADWAY,APN,
Glen Campbell Museum and Rhinestone Stage,111 BROADWAY,111 BROADWAY,APN,
Grand Hyatt Nashville,1000 BROADWAY,1000 BROADWAY,APN,
Grand Ole Opry,2804 OPRYLAND DR,2804 OPRYLAND DR,APN,
Grimey's New & Preloved Music,1060 E TRINITY LN,1060 E TRINITY LN,APN,
Headquarters Beercade,114 2ND AVE S,114 2ND AVE S,APN,
Helen's Hot Chicken,1801 JEFFERSON ST,1801 JEFFERSON ST,APN,
HOME (Helping Our Music Evolve),615 MAIN ST,615 MAIN ST,APN,
HOME (Helping Our Music Evolve),615 MAIN ST,615 MAIN ST,APN,
Honky Tonk Central,329 BROADWAY,329 BROADWAY,APN,
Huba Huba Tiki Tonk,922 MAIN ST,922 MAIN ST,APN,
Inglewood Lounge,3914 GALLATIN PIKE,3914 GALLATIN PIKE,APN,
Island Vibes,1316 ANTIOCH PIKE,1316 ANTIOCH PIKE,APN,
Jefferson Street Jazz Street Festival,1215 9TH AVE N,1215 9TH AVE N,APN,
Jimmy Buffett's Margaritaville,322 BROADWAY,322 BROADWAY,APN,
Joe's Place,2227 BANDYWOOD DR,2227 BANDYWOOD DR,APN,
Johnny Cash's Kitchen & Saloon,121 3RD AVE S,121 3RD AVE S,APN,
Kid Rock's Big Honky Tonk Rock N' Roll Steakhouse,221 BROADWAY,221 BROADWAY,APN,
L27 Rooftop Lounge,807 CLARK PL,807 CLARK PL,APN,
Lab Canna,1106 GALLATIN AVE,1106 GALLATIN AVE,APN,
La Costa Mexican Seafood,5332 CANE RIDGE RD,5332 CANE RIDGE RD,APN,
Larry's Grand Ole Garage,549 E MAPLE ST,549 E MAPLE ST,APN,
Las Fogatas,5560 NOLENSVILLE PIKE,5560 NOLENSVILLE PIKE,APN,
Layla's Honky Tonk,418 BROADWAY,418 BROADWAY,APN,
Live Oak,1530 DEMONBREUN ST,1530 DEMONBREUN ST,APN,
Los Arcos,3798 NOLENSVILLE PIKE,3798 NOLENSVILLE PIKE,APN,
Loser Most Wanted Bar & Grill (Downtown),111 4TH AVE S,111 4TH AVE S,APN,
Lou|Na,1000 BROADWAY,1000 BROADWAY,APN,
Lucky Bastard Saloon,408 BROADWAY,408 BROADWAY,APN,
Luke's 32 Bridge Food & Drink,301 BROADWAY,301 BROADWAY,APN,
Marisqueria 7 Mares,931 RICHARDS RD,931 RICHARDS RD,APN,
Maxwell Lounge at Millenium Maxwell House Nashville,2025 ROSA L PARKS BLVD,2025 ROSA L PARKS BLVD,APN,
"Mellow Mushroom 
(Broadway)",423 BROADWAY,423 BROADWAY,APN,
Mickeys Tavern,2907 GALLATIN PIKE,2907 GALLATIN PIKE,APN,
Music City Bar & Grill,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,APN,
Music City Center,201 REP JOHN LEWIS WAY S,201 REP JOHN LEWIS WAY S,APN,
Music City Walk of Fame Park,121 4TH AVE S,121 4TH AVE S,APN,
Musicians Corner,2500 WEST END AVE,2500 WEST END AVE,APN,
Nashville Farmers' Market,900 ROSA L PARKS BLVD,900 ROSA L PARKS BLVD,APN,
Nashville Jazz Workshop,1012 BUCHANAN ST,1012 BUCHANAN ST,APN,
Nashville Municipal Auditorium,417 4TH AVE N,417 4TH AVE N,APN,
Nashville Nightlife Theater,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,APN,
Nashville Underground,105 BROADWAY,105 BROADWAY,APN,
Nashville's War Memorial Auditorium,301 6TH AVE N,301 6TH AVE N,APN,
Nectar Urban Cantina,206 MCGAVOCK PIKE,206 MCGAVOCK PIKE,APN,
Neighbors of Sylvan Park,4425 MURPHY RD,4425 MURPHY RD,APN,
Nissan Stadium,1 TITANS WAY,1 TITANS WAY,APN,
Noble's East Nashville,974 MAIN ST,974 MAIN ST,APN,
Nudie's Honky Tonk,409 BROADWAY,409 BROADWAY,APN,
Old Glory,1200 VILLA PL,1200 VILLA PL,APN,
Ole Red,300 BROADWAY,300 BROADWAY,APN,
Opry Backstage Grill,2401 MUSIC VALLEY DR,2401 MUSIC VALLEY DR,APN,
Out Loud Music Festival; Tomato Art Fest,14 JAMES ROBERTSON PKWY,14 JAMES ROBERTSON PKWY,APN,
Outback Presents,209 10TH AVE S,209 10TH AVE S,APN,
Oz Arts Nashville,6172 COCKRILL BEND CIR,6172 COCKRILL BEND CIR,APN,
Phat Bites Deli & Bar,2730 LEBANON PIKE,2730 LEBANON PIKE,APN,
Plaza Mariachi,3955 NOLENSVILLE PIKE,3955 NOLENSVILLE PIKE,APN,
Ray Stevens CabaRay,5724 RIVER RD,5724 RIVER RD,APN,
Red Door Saloon,1816 DIVISION ST,1816 DIVISION ST,APN,
Red Door Saloon East,1010 FORREST AVE,1010 FORREST AVE,APN,
Redneck Riviera,208 BROADWAY,208 BROADWAY,APN,
Renaissance Nashville Hotel-Bridge Bar,611 COMMERCE ST,611 COMMERCE ST,APN,
Rippy's Smokin' Bar & Grill,429 BROADWAY,429 BROADWAY,APN,
Rocketown (Main Building),601 4TH AVE S,601 4TH AVE S,APN,
Santa's Pub,2225 BRANSFORD AVE,2225 BRANSFORD AVE,APN,
Schermerhorn Symphony Center,1 SYMPHONY PL,1 SYMPHONY PL,APN,
Sheraton Downtown Nashville,623 UNION ST,623 UNION ST,APN,
Sid Gold<92>s Request Room,3245 GALLATIN PIKE,3245 GALLATIN PIKE,APN,
Sinema,2600 8TH AVE S,2600 8TH AVE S,APN,
Solberg Studios,1618 JEFFERSON ST,1618 JEFFERSON ST,APN,
Southern Grist Brewing East Nashville,754 DOUGLAS AVE,754 DOUGLAS AVE,APN,
Star Rover Sound,1400 ADAMS ST,1400 ADAMS ST,APN,
Symphony Lounge at Hilton Nashville Downtown,121 4TH AVE S,121 4TH AVE S,APN,
TailGate Brewery East,811 GALLATIN AVE,811 GALLATIN AVE,APN,
TailGate Brewery Music Row,1538 DEMONBREUN ST,1538 DEMONBREUN ST,APN,
Tailgate Brewery-HQ,7300 CHARLOTTE PIKE,7300 CHARLOTTE PIKE,APN,
Tennessee Brew Works,809 EWING AVE,809 EWING AVE,APN,
Tequila Cowboy,305 BROADWAY,305 BROADWAY,APN,
Texas Troubadour Theatre,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,APN,
The 5 Spot,1006 FORREST AVE,1006 FORREST AVE,APN,
The Basement East,1604 8TH AVE S,1604 8TH AVE S,APN,
The Bowery Vault,2905 GALLATIN PIKE,2905 GALLATIN PIKE,APN,
The Bridge (Renaissance Nashville Hotel),611 COMMERCE ST,611 COMMERCE ST,APN,
The Cobra,2511 GALLATIN AVE,2511 GALLATIN AVE,APN,
The Countrypolitan Bar & Kitchen (inside Hotel Indigo),301 UNION ST,301 UNION ST,APN,
The Cowan,500 COWAN ST,500 COWAN ST,APN,
The District Bar & Kitchen (Hotel Indigo Downtown),315 UNION ST,315 UNION ST,APN,
The Donelson Pub,945 ALLEN RD,945 ALLEN RD,APN,
The East Room,2412 GALLATIN AVE,2412 GALLATIN AVE,APN,
The Eighth Room,2106 8TH AVE S,2106 8TH AVE S,APN,
The End,2219 ELLISTON PL,2219 ELLISTON PL,APN,
The Fisher Center for the Performing Arts,2020 BELMONT BLVD,2020 BELMONT BLVD,APN,
The Gibson Garage,209 10TH AVE S,209 10TH AVE S,APN,
The Hampton Social,201 1ST AVE S,201 1ST AVE S,APN,
The Lipstick Lounge,1400 WOODLAND ST,1400 WOODLAND ST,APN,
The Listening Room,618 4TH AVE S,618 4TH AVE S,APN,
The Local Distro,614 GARFIELD ST,614 GARFIELD ST,APN,
The Local Nashville,110 28TH AVE N,110 28TH AVE N,APN,
The Office Nashville,604 GALLATIN AVE,604 GALLATIN AVE,APN,
The Parthenon,2500 WEST END AVE,2500 WEST END AVE,APN,
The Row Kitchen & Pub,110 LYLE AVE,110 LYLE AVE,APN,
The Rum Room,2116 MEHARRY BLVD,2116 MEHARRY BLVD,APN,
The Second Fiddle,420 BROADWAY,420 BROADWAY,APN,
The Stage on Broadway,412 BROADWAY,412 BROADWAY,APN,
The Station Inn,402 12TH AVE S,402 12TH AVE S,APN,
The Stillery (Downtown),113 2ND AVE N,113 2ND AVE N,APN,
The Underdog,3208 GALLATIN PIKE,3208 GALLATIN PIKE,APN,
The Valentine,312 BROADWAY,312 BROADWAY,APN,
The Vinyl Lounge,1414 3RD AVE S,1414 3RD AVE S,APN,
Thirsty Turtle Sports Grill,1307 BELL RD,1307 BELL RD,APN,
Tin Roof Broadway,316 BROADWAY,316 BROADWAY,APN,
Tootsie's Orchid Lounge,422 BROADWAY,422 BROADWAY,APN,
Tootsie's Orchid Lounge (Nashville Intl. Airport),1 TERMINAL DR,1 TERMINAL DR,APN,
Top Golf,500 COWAN ST,500 COWAN ST,APN,
Tribe,1515 CHURCH ST,1515 CHURCH ST,APN,
TRUE Music Room and Bar (Cambria Hotel & Suites),118 8TH AVE S,118 8TH AVE S,APN,
Twin Kegs II,327 HERMITAGE AVE,327 HERMITAGE AVE,APN,
Urban Cowboy Public House Bar,1603 WOODLAND ST,1603 WOODLAND ST,APN,
Van Gogh's Ear Wine Bar,1112 WOODLAND ST,1112 WOODLAND ST,APN,
Vinyl Tap,2038 GREENWOOD AVE,2038 GREENWOOD AVE,APN,
WannaB's Karaoke Bar,305 BROADWAY,305 BROADWAY,APN,
War Memorial Auditorium,301 6TH AVE N,301 6TH AVE N,APN,
Whiskey Bent Saloon,306 BROADWAY,306 BROADWAY,APN,
Wildhorse Saloon,120 2ND AVE N,120 2ND AVE N,APN,
Winners Bar & Grill,1913 DIVISION ST,1913 DIVISION ST,APN,
Yee Haw Brewing Co.,423 6TH AVE S,423 6TH AVE S,APN,
Zanies Comedy Showplace Nashville,2025 8TH AVE S,2025 8TH AVE S,APN,
Arrington Vineyards & Winery,6211 PATTON RD,6211 PATTON RD,geocoded,OUT OF STUDY AREA
Ascend Amphitheater,1ST ST,310 1ST AVE S,manual_APN,
Benchmark Bar & Grill,5000 HUGHES CROSSING,5000 HUGHES CROSSING,geocoded,OUT OF STUDY AREA
"CE gallery
(WEHO and/or Madison location)",516 HOUSTON ST,425 CHESTNUT ST,manual_APN,multiple locations
Cheekwood Botanical Garden and Museum of Art,1200 FORREST PARK DR,111 CHEEK RD,manual_APN,
City Winery Nashville,609 LAFAYETTE ST,600 MIDDLETON ST,manual_APN,
Deep Tropics (Music Festival),BICENTENNIAL CAPITOL MALL STATE PARK- 600 JAMES ROBERTSON PIKEWY,900 ROSA L PARKS BLVD,manual_APN,
Delgado Guitars,919 GALLATIN AVE,919 C GALLATIN AVE,manual_APN,
Drifters BBQ,1008 B,1008 WOODLAND ST,manual_APN,
Eastside Bowl,1508A GALLATIN PIKE S,1508 GALLATIN PIKE,manual_APN,
Fanny's House of Music,"1101 HOLLY ST
",1101 HOLLY ST,manual_APN,
GEODIS Park,501 BENTON AVE,0 RAINS AVE,manual_APN,
Homegrown Taproom Kitchen,2720 OLD LEBANON RD,2720 OLD LEBANON PIKE,manual_APN,
Jane's Hideaway,407 GALLATIN AVE,403 GALLATIN AVE,manual_APN,
Lipscomb University Department of Theatre,"ONE UNIVERSITY PARK DR
",1 UNIVERSITY PARK DR,manual_APN,
Little Harpeth Brewing,"BNA AIRPORT
NASHVILLE",1 TERMINAL DR,manual_APN,
Lovenoise,EAKIN-WEAKLEY DR,EAKIN-WEAKLEY DR,geocoded,I have no idea where this is
Marathon Music Works,1402 CLINTON ST,1404 CLINTON ST,manual_APN,
McNamara's Irish Pub,1402 CLINTON ST,2740 OLD LEBANON PIKE,manual_APN,
Mirror Mirror,"2623 LEBANON PIKE
NASHVILLE",2623 LEBANON PIKE,manual_APN,
Mockingbird Theatre,"230 FRANKLIN RD BUILDING 6 
","230 FRANKLIN RD BUILDING 6 
",geocoded,OUT OF STUDY AREA
Music Makers Stages at Delgado Guitars,919 GALLATIN AVE,919 A GALLATIN AVE,manual_APN,
Musicians Hall of Fame and Museum,401 GAY ST,417 4TH AVE N,manual_APN,
Nashville Children's Theatre,25 MIDDLETON ST,700 PRESIDENT RONALD REAGAN WAY,manual_APN,
Out Loud Music Festival; Tomato Art Fest,"1106 WOODLAND ST

",1106 WOODLAND ST,manual_APN,
Papa Turney's BBQ Nashville Shores Marina,"3979 BELL RD
HERMITAGE",NULL,manual_APN,parcel exists but is void of data
Pearl Diver,1008 GALLATIN AVE,1010 GALLATIN AVE,manual_APN,
Queen Ave Collective,"180 QUEEN AVE
NASHVILLE",180 QUEEN AVE,manual_APN,
Rebar at the Dam,"3248 BLACKWOOD DR
",3248 BLACKWOOD DR,manual_APN,
Rosemary and Beauty Queen (bar); Pink Spiders (band),"1102 FORREST AVE
",1102 FORREST AVE,manual_APN,
The Ballad of Emerson Hall,2512 GALLATIN AVE,2510 GALLATIN AVE,manual_APN,
The Bluebird Cafe,4104 HILLSBORO PIKE,4104 A HILLSBORO PIKE,manual_APN,
The Fairgrounds Nashville,"401 WINGROVE ST
",0 RAINS AVE,manual_APN,same as another
The Getalong,700A FATHERLAND ST,700 A FATHERLAND ST,manual_APN,
The Green Light,833 HAWKINS ST,833 9TH AVE S,manual_APN,
The Hideout Salon and Lounge,2605 GALLATIN PIKE,2605 GALLATIN AVE,manual_APN,
The High Watt,ONE CANNERY ROW,1 CANNERY ROW,manual_APN,
The Jamnasium-nashville City Center,"511 UNION ST
",511 UNION ST,manual_APN,
The Treehouse,"1011 CLEARVIEW AVE
",1011 CLEARVIEW AVE,manual_APN,
The Wedge pizza Pub,2026 LINDELL AVE,2020 LINDELL AVE,manual_APN,
TSU Performing Arts Center,3500 JOHN A MERRITT BLVD,3401 JOHN A MERRITT BLVD,manual_APN,
Yay Yay's,1821 JEFFERSON ST,1903 JEFFERSON ST,manual_APN,
Yolan,403 FOURTH AVE S,401 KOREAN VETERANS BLVD,manual_APN,
3rd & Lindsley,818 3RD AVE S,805 PRESIDENT RONALD REAGAN WAY,manual_APN,
Alley Taps,162 PRINTERS ALY,162 4TH AVE N 205,manual_APN,
Andrew Jackson Hall-TPAC,505 DEADERICK ST,301 REP JOHN LEWIS WAY N,manual_APN,
Anzie Blue,,1803 21ST AVE S,manual_APN,
Assembly Food Hall,5055 BROADWAY,500 BROADWAY,manual_APN,
Bavarian Bierhaus,121 OPRY MILLS DR,433 OPRY MILLS DR,manual_APN,
Belcourt Theatre,2102 BELCOURT AVE,2100 BELCOURT AVE,manual_APN,
Betty's Grill,407 49TH AVE N,4900 CHARLOTTE AVE,manual_APN,
Big Machine Brewery,122 3RD AVE S,120 3RD AVE S,manual_APN,
Black Rabbit,218 3RD AVE N,218 3RD AVE N #100,manual_APN,
Bourbon Street Blues and Boogie Bar,220 PRINTERS ALY,218 4TH AVE N,manual_APN,
Brooklyn Bowl Nashville,925 3RD AVE N,915 3RD AVE N,manual_APN,
Bucanas 2009,3810 NOLENSVILLE PIKE,3802 NOLENSVILLE PIKE,manual_APN,
Carl's Corner Pub & Bar,3765 NOLENSVILLE PIKE,3755 NOLENSVILLE PIKE,manual_APN,
Casa Rosa Miranda Lamberts,"308 BROADWAY
",308 BROADWAY,manual_APN,
CMA Theater,224 5TH AVE S,224 REP JOHN LEWIS WAY S,manual_APN,
Country Music Hall of Fame and Museum,"222 REP JOHN LEWIS WAY S
",222 REP JOHN LEWIS WAY S,manual_APN,
Ellingston's,401 UNION ST 4TH FLOOR,241 4TH AVE N,manual_APN,
EXIT/IN,,2208 ELLISTON PL,manual_APN,
FISK University Little Theatre,998 DR DB TODD JR BLVD,934 DR D B TODD JR BLVD,manual_APN,
General Jackson Showboat,2812 OPRYLAND DR,577 OPRY MILLS DR,manual_APN,
Hard Rock Cafe,100 BROADWAY,108 2ND AVE N,manual_APN,
Hifi Clyde's Nashville,"1700 CHURCH ST
",1700 CHURCH ST,manual_APN,
Hopsmith Tavern,"1903 DIVISION ST
",1903 DIVISION ST,manual_APN,
James K Polk Theater-TPAC,506 DEADERICK ST,301 REP JOHN LEWIS WAY N,manual_APN,
Jason Aldean's Kitchen + Rooftop Bar,307 BROADWAY,309 BROADWAY,manual_APN,
John A's Restaurant,2421 MUSIC VALLEY DR,2425 MUSIC VALLEY DR,manual_APN,
Kittenish,"304 11TH AVE S
NASHVILLE",320 11TH AVE S,manual_APN,
La Terraza Mexican Restaurant,5751 NOLENSVILLE PIKE,5731 NOLENSVILLE PIKE,manual_APN,
Las Cazuelas,4114 NOLENSVILLE PIKE,4112 NOLENSVILLE PIKE,manual_APN,
Legends Corner,428 BROADWAY,424 BROADWAY,manual_APN,
Lonnie's western Room,308 CHURCH ST,300 CHURCH ST,manual_APN,
Loveless Cafe,8400 TN-100,8400 HIGHWAY 100,manual_APN,
Mariscos Sayulita Nayarit,2955 S RUTHERFORD BLVD,2955 S RUTHERFORD BLVD,manual_APN,OUT OF STUDY AREA
Martin's BBQ Joint - SOBRO,"410 4TH AVE S
",410 4TH AVE S,manual_APN,
Miss Kelli's Karaoke Bar,207 PRINTERS ALY,207 3RD AVE N 101,manual_APN,
Moonlite Drive-in,931 W MAIN ST,941 B MAIN ST,manual_APN,
Moxy Nashville,"110 3RD AVE S

",110 3RD AVE S,manual_APN,
NashHouse Southern Spoon and Saloon,114 8TH AVE S,1222 DEMONBREUN ST,manual_APN,
Natl Museum of African American Music,510 BROADWAY,500 BROADWAY,manual_APN,
Patron Event Center,709 A RIVERGATE PKWY,709 RIVERGATE PKWY,manual_APN,
Play Dance Bar,1519 CHURCH ST,1517 CHURCH ST,manual_APN,
Primm's Appetit,1104 LITTON AVE,2830 GALLATIN PIKE,manual_APN,
Puckett's Grocery & Restaurant Downtown,500 CHURCH ST,201 REP JOHN LEWIS WAY N,manual_APN,
Riverside Revival Nashville,1600 ROVERTSODE DR,1600 RIVERSIDE DR,manual_APN,
Robert's Western World,416 BROADWAY,416 B BROADWAY,manual_APN,
Rosie's Twin Kegs,413 W THOMPSON LN,413 THOMPSON LN,manual_APN,
Rudy's Jazz Room,809 GLEAVES ST,600 9TH AVE S,manual_APN,
Ryman Auditorium,116 5TH AVE N,116 REP JOHN LEWIS WAY N,manual_APN,
Sambuca (Restaurant),601 12TH AVE S,1209 PINE ST,manual_APN,
Scoreboard Restaurant & Sports Bar,2408 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,manual_APN,
Shamblin Theater,4001 GRANNY WHITE PIKE,1 UNIVERSITY PARK DR,manual_APN,
Sidebar Nashville,401 2ND AVE S,401 B PRESIDENT RONALD REAGAN WAY,manual_APN,
Skull's Rainbow Club,222 PRINTERS ALY,222 4TH AVE N,manual_APN,
Skydeck on Broadway,5055 BROADWAY,600 B BROADWAY,manual_APN,
Slim & Husky's Pizza Beeria,MULTIPLE LOCATIONS,MULTIPLE LOCATIONS,manual,multiple locations
Snitch,206 PRINTERS ALY,210 4TH AVE N,manual_APN,
Sobro Sports Bar and Grill (Hilton Garden Inn Downtown),305 KOREAN VETERANS BLVD,419 3RD AVE S,manual_APN,
Sonny's Patio Pub and Refuge,"1322 6TH AVE N
",1318 6TH AVE N,manual_APN,
Springwater Supper Club & Lounge,115 27TH AVE N,2701 POSTON AVE,manual_APN,
Tennessee Performing Arts Center,505 DEADERICK ST,301 REP JOHN LEWIS WAY N,manual_APN,
The Back Corner,1411 5TH AVE N,1401 5TH AVE N,manual_APN,
The Big Bang Dueling Pianos,"209 PRINTERS ALY
",209 3RD AVE N,manual_APN,
The Blue Room at Third Man Records,"623 7TH AVE S
",623 7TH AVE S,manual_APN,
The Electric Jane,1301 DIVISION ST,1221 DIVISION ST,manual_APN,
The Goat,1220 2ND AVE N,1226 2ND AVE N,manual_APN,
The Nashville Palace,2611 MCGAVOCK PIKE,2611 A MCGAVOCK PIKE,manual_APN,
The Roadside Bar & Grill,,4617 OLD HICKORY BLVD,manual_APN,
Twelve Keys Saloon,4719,4719 ANDREW JACKSON PKWY,manual_APN,
Up a roof top lounge,"901 DIVISION ST
",901 DIVISION ST,manual_APN,
